,positive
63,['rt @niicomode: happy holidays ~ #oc #originalcharacter https://t.co/7ndfowxrhc']
64,"[""rt @ajdelgado13: @ggreenwald fascinating how the same lady wasn't bothered by wilson's confederate-flag cooler. happy to take the $300,000…""]"
65,"[""rt @kongislserver: today's the day! happy 25th to donkey kong country 3! #dkc3day #dkc3 #donkeykong #donkeykongcountry https://t.co/ltf2q…""]"
66,['rt @soppisopp: sometimes i think we speak the language of unborn stars #dimiclaude — happy holidays everyone!! ❄️🌟 https://t.co/wdw0rtxsnm']
67,['@the_sneaker_don ahhh congrats!!!!! so happy for you!']
68,['rt @dannywood: happy one year #woodaversary to #thewoodworks! i’m so proud of what we have done so far. it’s been so much fun sharing my li…']
69,['if you want a happy chri']
70,"[""@masadalii yesss &amp; i wonder if there's anyone who's genuinely happy &amp; satisfied with his life.🤧""]"
71,['@t3niola happy birthday']
72,['every happy couple i see gets blocked and reported']
73,"['rt @manticorefire: the day has come! happy land before time day, everyone! https://t.co/ecldqxqolt']"
74,['rt @gbgiga_: happy surge and kit day #idwsonic https://t.co/cghnktf0e3']
75,"['@kurz__ happy bday, hopefully you hit an inter 7']"
76,['@bedtimeoldman @chrisfedor not going happen i will be happy if he score 10 dude is trash 🗑']
77,['so happy am part of the project we hope it drive us to our destine lambo as it name was called going up. join now… https://t.co/pym0du1grg']
78,['@thegirlpyt so happy for you sis you definitely deserve it!🤞🏾💕']
79,['rt @xela_nsfw: @juicytee_ happy thick dick thursday everyone 😤😌 https://t.co/slvj3pvqtf']
80,"[""god, look at how upset people get when a woman expresses she doesn't want kids and is happy with herself and her li… https://t.co/sajbfpdw4v""]"
81,['rt @amouranth: happy saturday! https://t.co/spjhwcta4p']
82,"['rt @fact: psychology says, the person who tries to keep everyone happy often ends up feeling the loneliest.']"
83,['@savoirfaire22 awe shucks !!! i am so proud of you harry and happy for you !! you go boy 💫😊🤩👍']
84,"['rt @metallica: 🎉 happy birthday, kirk! 🎉 https://t.co/03rjppeanb']"
85,['rt @kennylanglea: happy birthday to this is the modern world. album released this day in 1977 by the jam. their 2nd. the album was released…']
86,['this is very nice project &amp; i am very hopefully this project. i am very happy for participate this project❤️❤️❤️… https://t.co/24qyqddmaw']
87,['#edibles #cbdoil #prerolls #cannabis #vapejuice #cannabiscommunity happy friday everyone! we want to provide more… https://t.co/izeoixuswa']
88,"['@oct_fan @via_rail hello, michael. we are very happy to hear that you would like to travel with us! please visit th… https://t.co/k6cbfigbvk']"
89,['rt @meeeeeshhhhh: when free money was floating around everybody was happy and living. now all the plays gone folks is broke bitter and mess…']
90,['@raysfangio @crumblcookies happy birthday gio!! https://t.co/qodm4trdus']
91,['rt @littlemix: 💖 happy five years of glory days 💖 https://t.co/cmmceodqso https://t.co/pcrjeej7kg']
92,"['@kappykvh happy to see them blow up even more, they went through the soundcloud trenches to #2 on billboard rap charts']"
93,"[""regardless i'm so happy with my choice i made.""]"
94,['rt @ecf0802: happy birthday po mam☺️ #boycottmzetxaptxgma255']
95,['my happy pill🐰🥺']
96,['rt @saketh9: happy men’s day 👀 https://t.co/f12mikfqta']
97,"['@driverpotter positive thoughts steve, make for a happy life......']"
98,"[""rt @vaastavngo: happy international men's day to all men out there...!! 🧔🏻💐🎉✌ #happyinternationalmensday #happymensday #mensday19nov #mensd…""]"
99,"[""rt @_pammy_ds_: the best revenge is none. heal, move on and be happy - don't become like those who hurt you.""]"
100,['@hilalrehmani @wajihaabid1 happy birthday adi 🎉🎉']
101,"[""rt @lborolgbt_staff: we're always on the lookout for lgbt+ -related reasons to celebrate, but this is a new one on us! happy #polarpride20…""]"
102,['rt @piyushmittal: laura ingraham just made lauren boebert and donald trump jr. so happy that they’re not the stupidest people on the planet…']
103,['rt @seanmcarroll: happy world philosophy day! the correct answers are: physicalism; realism; everett; compatibilism; nominalism; moral cons…']
104,['rt @jjhoogs: @rbird101 happy to have holiday gifts on the way! easy way to get 🦃 related items. thanks @rbird101 🥃🦃 https://t.co/qvpspq6t1d']
105,['rt @blink182: happy birthday kid 🎂 https://t.co/buqhhorjba']
106,['rt @butnotthecity: everyone wishing happy birthday to margaret atwood in the middle of transgender awareness week without anything remotely…']
107,['omg my first painting since before i start spirit. i’m so happy with it. ❤️❤️ https://t.co/0ktwhtl6y0']
108,['@supertheandres @dfsp2 @gwenlovesmovies according to barry sonnefeld on the happy sad confused podcast he spilled t… https://t.co/7xxme1xise']
109,['rt @kolean_mike: have a seat and enjoy the view!! happy day y’all 😉 https://t.co/ykb9f7kgzh']
110,['rt @itslinzzzz: i love to see people frothing at the mouth over how happy and carefree single/childless women are. yes! please continue to…']
111,['rt @yonashos: happy birthday ruki!!!! 🎉🎉🎉 #happyrukiday #jo1 #shiroiwaruki https://t.co/4vsqhgsexg']
112,['@presi_nish happy birthday t! hope you enjoy it and win something nice 🎉🎊🥳']
113,"[""@wuskythehusky you've got a great smile! i love seeing people smile and be happy :)""]"
114,['rt @weresexuai: she can’t get enough of his cock. she’s in her happy place ☺️ https://t.co/sxzwjhlcwm']
115,['@iron_spike happy birthday!!']
116,"['rt @winniekiiza: happy birthday hon. bihande! i am so lucky to have a husband like you. many more years of love, care, and parenting. cong…']"
117,['rt @jiniefilms: be happy #seokjin ♡ https://t.co/muov097nd8']
118,['people hate fatness more than they love people being healthy &amp; happy regardless of body type']
119,['rt @moisthestar: carly: why are you defending nina? sonny: you should just just be happy i’m not f*cking her. #gh #sona']
120,['rt @kevinabstract: happy birthday american boyfriend https://t.co/ncz2kczwvr']
121,['can you believe it guys? thanksgiving! just a week away! thanksgiving is in a week! woohoo! i am so happy about thi… https://t.co/duq3nb2gxy']
122,"[""@arossetta if you'd like to dm with the case number, i'm happy to take a look. -hannah""]"
123,"['rt @ellumilucid: happy 6th anniversary, brawlhalla ! #brawlhalla #brawlhallaart https://t.co/7fydgvc47d']"
124,['rt @udrigledmcn: @bjcruickshank @bbcnews happy to join in #yesscots #bbcqtswitchoff time that @bbcscotlandnews took note']
125,['@the_nerd_skull big happy family!!!']
126,"[""rt @elemjay1: @stvnews no. no they have not. we're happy to use them. what we're not willing to do is frequent venues without robust, and e…""]"
127,['i’m actually so happy about this']
128,"['11:11 my little angel jungkook, i hope that he succeeds in all his deeds, be happy and in good health, and everyone… https://t.co/yngqxh3npi']"
129,['rt @blink182: happy birthday kid 🎂 https://t.co/buqhhorjba']
130,"['aubrey is just really good at basketball, i’m happy people are starting to see. her bag is crazy. sheesh.']"
131,['rt @connorgrayx: happy almost friday 🤗 https://t.co/vevhl0dxvw']
